Number of Threads, Number of Numnodes, the total volume, Megatrials per Second
1,4,3.5334008,    4.33
1,32,6.3859210,    3.74
1,128,6.4697914,    3.57
1,500,6.4815373,    3.66
1,800,6.4845700,    3.65
1,1000,6.4885488,    3.67
1,1500,6.5042162,    3.65
1,2000,6.5402517,    3.59
1,2500,6.6064792,    3.60
1,3000,6.6486855,    3.59
1,4000,6.8581643,    3.61
1,5000,5.3708572,    3.65
1,6000,3.7295134,    3.67
1,7000,2.7399201,    3.66

2,4,3.5334003,    5.62
2,32,6.3859096,    5.44
2,128,6.4697566,    3.93
2,500,6.4807563,    7.12
2,800,6.4823575,    7.06
2,1000,6.4837108,    6.97
2,1500,6.4886594,    7.13
2,2000,6.5026803,    7.16
2,2500,6.5080214,    7.17
2,3000,6.5487642,    7.18
2,4000,6.6341262,    7.15
2,5000,6.8130565,    7.17
2,6000,6.9068213,    7.18
2,7000,5.4798403,    7.24

4,4,3.5334003,    6.99
4,32,6.3859100,   14.23
4,128,6.4697676,   13.95
4,500,6.4805365,   13.75
4,800,6.4815640,   13.93
4,1000,6.4825373,   14.02
4,1500,6.4850025,   14.06
4,2000,6.4913969,   14.05
4,2500,6.4958482,   14.04
4,3000,6.5083532,   14.04
4,4000,6.5108371,   14.08
4,5000,6.5685358,   14.10
4,6000,6.6580243,   14.09
4,7000,6.7629137,   14.10

8,4,3.5334034,    5.15
8,32,6.3859096,   22.62
8,128,6.4697742,   21.16
8,500,6.4805102,   22.43
8,800,6.4814205,   27.58
8,1000,6.4819446,   27.73
8,1500,6.4827099,   27.46
8,2000,6.4843845,   24.57
8,2500,6.4915013,   26.95
8,3000,6.4916077,   28.11
8,4000,6.4935131,   27.62
8,5000,6.5341578,   27.06
8,6000,6.5669332,   26.06
8,7000,6.5975161,   26.81

16,4,3.5334034,    3.69
16,32,6.3859015,   37.13
16,128,6.4697661,   40.44
16,500,6.4804797,   38.16
16,800,6.4813123,   38.63
16,1000,6.4816022,   20.68
16,1500,6.4820313,   22.51
16,2000,6.4832878,   24.17
16,2500,6.4832177,   22.90
16,3000,6.4843888,   24.55
16,4000,6.4887710,   22.70
16,5000,6.4998503,   24.48
16,6000,6.5075426,   35.50
16,7000,6.5254202,   39.89

32,4,3.5334034,    0.39
32,32,6.3859115,    8.14
32,128,6.4697666,   16.15
32,500,6.4804807,   25.65
32,800,6.4811902,   26.13
32,1000,6.4814920,   23.68
32,1500,6.4818153,   24.48
32,2000,6.4821959,   26.77
32,2500,6.4821424,   29.12
32,3000,6.4828248,   34.73
32,4000,6.4853129,   33.15
32,5000,6.4883423,   45.65
32,6000,6.4909062,   45.23
32,7000,6.4972968,   47.08

64,4,3.5334034,    0.13
64,32,6.3859158,    4.15
64,128,6.4697795,   17.95
64,500,6.4804940,   36.06
64,800,6.4811916,   43.55
64,1000,6.4814663,   42.68
64,1500,6.4817314,   30.42
64,2000,6.4819126,   30.71
64,2500,6.4820910,   39.13
64,3000,6.4822369,   45.66
64,4000,6.4827685,   48.85
64,5000,6.4840722,   47.58
64,6000,6.4851837,   49.91
64,7000,6.4878588,   52.89

128,4,3.5334034,    0.08
128,32,6.3859167,    4.56
128,128,6.4697676,   17.91
128,500,6.4804993,   30.94
128,800,6.4812174,   46.15
128,1000,6.4814477,   44.76
128,1500,6.4817147,   30.15
128,2000,6.4818296,   34.88
128,2500,6.4819546,   41.26
128,3000,6.4820161,   47.27
128,4000,6.4822636,   48.84
128,5000,6.4827318,   50.72
128,6000,6.4830046,   54.72
128,7000,6.4840007,   54.56

